title,address
Metal and Glass Fabricators Seeking Estimator & AutoCAD Draftsman,Bronx-Hunts Point
Senior Engineer,
Preservation/Exterior Envelope Project Manager,Greenwich Village
CAD DRAFTING NEEDED,East Harlem
Construction Project Manager,Brooklyn
Preservation/Exterior Envelope Project Architect,Greenwich Village
Mechanical Engineer & Product Designer,
Draftsperson / Architectural Woodwork,Queens
Construction Project Manager,
EXPEDITER WANTED CLASS 2,
Healthcare Architect,SoHo
Data Science Engineer,Midtown West
ADMINISTRATIVE ASSIST,NEW YORK
Junior/Intermediate Architect,Nolita / Bowery
ARCHITECT  - REVIT DRAFTER,NYC
Intern/Entry Level Drafting position,Long Island City
Solar Support Engineer (half time),Brooklyn Navy Yard
Senior Project Architect,Williamsburg
◄◄  FREE-LANCE SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR PROJECT,"Queens, New York"
***CONSTRUCTION SITE SUPERVISOR NEEDED  ****NYSCA PROJECTS***,Queens
Executive Assistant with strong sales and marketing background,Midtown East
MECHANICAL ENGINEER &/or PLUMBING ENGINEER -WORK FROM HOME OPPORTUNITY,Upper West Side
Project Manager,Chelsea
INTERIOR DESIGNER - Corporate Interiors,Norwalk
MECHANICAL DESIGN ENGINEER - EXPERT IN SOLIDWORKS OR PROE,Midtown West
Facade / Building Envelope Project Architect or Engineer,TriBeCa
Exterior Restoration / Recent Graduate,TriBeCa
Facade / Building Envelope Engineer or Architect,TriBeCa
Miscellaneous Steel Detailer,Queens
architect,Flatiron
JR Estimator/Quantity Surveyor,
Architectural / Interior Design Internship,Flatiron
Architectural Draftsperson/Project Manager,"Huntington Station, NY"
Seeking Full Time Structural Engineer,Brooklyn
Assistant Project Manager for Design Company,Midtown East
Project Engineer For Construction,Brooklyn
Sr. Electrical Engineer,NYC
EXPERIENCE CONSTRUCTION ENGINEER NEEDED FOR BUSY QUEENS OFFICE,KEW GARDENS
Construction Estimator,bronx
AUTOCAD DRAFTSMAN,New Rochelle
Architectural Draftpersons & Office Assistant,Chinatown / Lit Italy
BIM/ CAD Technician,Midtown
Trainee Project Manager,Chelsea
Construction Estimator,5 Boros
Executive Administrator,Midtown
Project Management/Logistics-Furniture Company,Upper East Side
Engineer,Chelsea
Junior Architect,Flatiron
"Technical Director, P.E.","Queens, NY"
MEP Electrical Engineer -Low Voltage/IT/AV- 3+ years,Midtown West
Architectural Firm Seeking DOB Class 2 Filing Representative,Midtown West
Mechanical Engineer,
Project Engineer (NIGHTS),
Expediter - Codes/Zoning,Midtown
Project Manager,Queens
Estimator/Asst. Project Manager,Queens
Architectural Design Firm Seeking Experienced Associate Architect,Midtown West
Junior Architect - Restoration Firm,Union Square
Junior Architect,Chinatown / Lit Italy
BKLYN Based Design/Construction Firm Seeks Sr. Construction Mgr.,"Gowanus, Brooklyn"
Energy Efficiency Engineers,Midtown East
Mid Level Mechanical Engineers (2+ Years) with Project Management,Midtown West
Sr. Project Plumbing and FP Engineers,Midtown West
Sr. Mechanical/HVAC Engineers,Midtown West
JOB CAPTAIN / INTERMEDIATE ARCHITECT,Chelsea
Design Architect,Midtown West
Senior Technical Architect,Midtown West
Intern Level Architect needed,Upper West Side
Construction Project Manager,
"NYS Licensed Design Professional, Architect or Professional Engineer",Brooklyn
NYC DOB Filing Representative Needed ASAP,Financial District
Intermediate Architect,Midtown West
Industrial Engineer,Mount Vernon
Electrical Engineers and Building Inspectors,Financial District
Mechanical Engineers and Building Inspectors,Financial District
Assistant Project Manager - General Contractor,Staten Island
Project Manager - Construction Manager,Greenwich Village
Construction Renovation Foreman - Super - Assistant Project Manager,Queens-Brooklyn - NYC
AutoCAD Drafter/Renderer,Midtown
Electrical Design Engineer,Brooklyn
Filing rep. (class 2) For NYC dept. Of buildings,Brooklyn
Architectural Draftsperson,Brooklyn
Entry Level Technical Designer / CAD,Flatiron
Floor Plan Measurer: AS-BUILT Drawings $35/hr (New York City),New York City
Junior Architect,"Pleasantville, NY"
Construction Estimator - Assistant Estimator,Brooklyn
Senior/Intermediate Architects needed for boutique design studio,Chelsea
Job Captain/Intermediate Architect - Immediate Hire,Flatiron
Expeditor in Architecture field,Flatiron
"Licensed Professional Engineer (PE), Registered Architect (RA) WANTED!",NYC 5 Boroughs
Construction Managment,
Junior and Intern Level Architect,Forest Hills
Urgent 3d visualization help,
expeditor class 1-2,queens
REGISTERED ARCHITECT OR PROFESSIONAL ENGINEER,5 boroughs
Construction Estimator PT/Work from Home,Anywhere
Junior Estimator/Project manager,Queens
Architect,
Jr. Architect or Engineer,Mount Vernon
Architectural Designer,QUEENS
Systems Engineers,"New York, NY"
Construction Site Safety Supervisor,
Architectural CAD Drafters,SoHo
"CAD Draftsperson, Civil Engr'g","Riverside, CT"
Project Architect,SoHo
Land Surveyor,"Riverside, CT"
Civil Engineer,"Stamford, CT"
Facade / Building Envelope Engineer or Architect,TriBeCa
Exterior Restoration / Recent Graduate,TriBeCa
Facade / Building Envelope Project Architect or Engineer,TriBeCa
HVAC Mechanical Estimator,
"Estimator for Mechanical, Plumbing and Sprinkler Company",Lower East Side
Jr. Architect/CAD Draftperson,Great Neck
Junior Architect,Midtown West
Structural Engineer / Field Inspector,New York City
Plumbing/Fire Protection Engineer,New York City
Assistant Sales/Project Manager,Lower East Side
Architect - Part Time - Immediate Need (Possible for full time),Chelsea
NYC DOB Expediter Seeks Class 2 Filing Rep,All Boroughs
Production Designer,Midtown West
URL,Title,Address
https://newyork.craigslist.org/brx/egr/d/metal-and-glass-fabricators/6322152758.html,Metal and Glass Fabricators Seeking Estimator & AutoCAD Draftsman,Bronx-Hunts Point
https://newyork.craigslist.org/mnh/egr/d/senior-engineer/6322132346.html,Senior Engineer,
https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6322086050.html,Preservation/Exterior Envelope Project Manager,Greenwich Village
https://newyork.craigslist.org/mnh/egr/d/cad-drafting-needed/6322077360.html,CAD DRAFTING NEEDED,East Harlem
https://newyork.craigslist.org/brk/egr/d/construction-project-manager/6322070195.html,Construction Project Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6322058489.html,Preservation/Exterior Envelope Project Architect,Greenwich Village
https://newyork.craigslist.org/brk/egr/d/mechanical-engineer-product/6321819871.html,Mechanical Engineer & Product Designer,
https://newyork.craigslist.org/que/egr/d/draftsperson-architectural/6321767941.html,Draftsperson / Architectural Woodwork,Queens
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6321742468.html,Construction Project Manager,
https://newyork.craigslist.org/que/egr/d/expediter-wanted-class-2/6321648317.html,EXPEDITER WANTED CLASS 2,
https://newyork.craigslist.org/mnh/egr/d/healthcare-architect/6321637555.html,Healthcare Architect,SoHo
https://newyork.craigslist.org/mnh/egr/d/data-science-engineer/6321601106.html,Data Science Engineer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/administrative-assist/6321595736.html,ADMINISTRATIVE ASSIST,NEW YORK
https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architect/6321079365.html,Junior/Intermediate Architect,Nolita / Bowery
https://newyork.craigslist.org/brk/egr/d/architect-revit-drafter/6320969550.html,ARCHITECT  - REVIT DRAFTER,NYC
https://newyork.craigslist.org/que/egr/d/intern-entry-level-drafting/6320804471.html,Intern/Entry Level Drafting position,Long Island City
https://newyork.craigslist.org/brk/egr/d/solar-support-engineer-half/6320785066.html,Solar Support Engineer (half time),Brooklyn Navy Yard
https://newyork.craigslist.org/brk/egr/d/senior-project-architect/6320662952.html,Senior Project Architect,Williamsburg
https://newyork.craigslist.org/que/egr/d/free-lance-sketchup/6320598869.html,◄◄  FREE-LANCE SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR PROJECT,"Queens, New York"
https://newyork.craigslist.org/que/egr/d/construction-site-supervisor/6320541052.html,***CONSTRUCTION SITE SUPERVISOR NEEDED  ****NYSCA PROJECTS***,Queens
https://newyork.craigslist.org/mnh/egr/d/executive-assistant-with/6320352657.html,Executive Assistant with strong sales and marketing background,Midtown East
https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-or/6320144815.html,MECHANICAL ENGINEER &/or PLUMBING ENGINEER -WORK FROM HOME OPPORTUNITY,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/project-manager/6320108234.html,Project Manager,Chelsea
https://newyork.craigslist.org/fct/egr/d/interior-designer-corporate/6319937133.html,INTERIOR DESIGNER - Corporate Interiors,Norwalk
https://newyork.craigslist.org/mnh/egr/d/mechanical-design-engineer/6318722773.html,MECHANICAL DESIGN ENGINEER - EXPERT IN SOLIDWORKS OR PROE,Midtown West
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6318226367.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6318224910.html,Exterior Restoration / Recent Graduate,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6318223703.html,Facade / Building Envelope Engineer or Architect,TriBeCa
https://newyork.craigslist.org/que/egr/d/miscellaneous-steel-detailer/6317795229.html,Miscellaneous Steel Detailer,Queens
https://newyork.craigslist.org/mnh/egr/d/architect/6317174486.html,architect,Flatiron
